,NA,PN,ND,NG,NNum,VO,NRc,VS,glot
An.OCEANIC.KAIRIRU,0,-,0,0,0,1,0,1,Austronesian
IE.SLAVIC.POLISH,1,0,1,0,1,0,0,-,Indo-European
Son.SONGHAY.KOROBORO_SENNI,0,1,0,1,0,1,0,1,Songhay
ST.KAREN.KAREN_SGAW,0,0,0,1,0,0,0,1,Sino-Tibetan
An.OCEANIC.POHNPEIAN,0,0,0,-,0,0,0,1,Austronesian
AA.BIU_MANDARA.PODOKO,-,0,1,0,0,0,0,0,Afro-Asiatic
Ura.UGRIC.KHANTY,1,1,1,1,1,1,1,1,Uralic
UA.NUMIC.NORTHERN_PAIUTE_BANNOCK,1,-,1,1,1,1,0,1,Uto-Aztecan
Kuo.KUOT.KUOT,0,0,1,0,1,0,0,0,Kuot
Ktn.KUTENAI.KUTENAI,-,-,1,0,1,0,-,0,Kutenai
Dra.SOUTH_CENTRAL_DRAVIDIAN.KUVI,1,1,1,1,1,1,1,1,Dravidian
An.CENTRAL_MALAYO_POLYNESIAN.ELPAPUTIH_SERAM_3,0,0,0,1,0,0,0,1,Austronesian
AuA.PALAUNG_KHMUIC.RUMAI,0,0,0,0,-,0,0,1,Austroasiatic
ST.KAREN.KAREN_PWO_EASTERN,0,0,0,1,0,0,0,1,Sino-Tibetan
IE.IRANIAN.PERSIAN,0,0,1,0,1,1,0,1,Indo-European
IE.IRANIAN.LAKKI_MARWAT_PASHTO,1,1,1,1,1,1,0,1,Indo-European
An.OCEANIC.PULUWATESE,0,0,0,1,1,0,0,1,Austronesian
AA.LOWLAND_EAST_CUSHITIC.AFAR,1,1,1,1,1,1,1,1,Afro-Asiatic
Tar.TARASCAN.TARASCAN,0,-,1,-,1,0,0,1,Tarascan
Tor.MARIENBERG.KAMASAU,0,1,0,1,0,1,-,1,Nuclear_Torricelli
Aus.PAMA_NYUNGAN.KUKU_UWANH,0,1,0,0,0,1,0,1,Pama-Nyungan
Dra.SOUTHERN_DRAVIDIAN.KANNADA,1,1,1,1,1,1,-,1,Dravidian
AA.WEST_CHADIC.DERA,-,0,0,0,0,0,0,1,Afro-Asiatic
Knm.KUNAMA.ILIT,0,1,0,1,0,1,0,1,Kunama
Sah.WESTERN_SAHARAN.KANURI,0,1,0,0,0,1,0,1,Saharan
An.OCEANIC.KUSAIE,0,0,0,0,0,0,0,1,Austronesian
Mus.MUSKOGEAN.KOASATI,0,1,1,1,0,1,-,1,Muskogean
TNG.MADANG.KOBON,0,1,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
ESu.SURMIC.KWEGU,0,0,0,0,0,0,0,1,Surmic
An.OCEANIC.PORT_SANDWICH,0,0,0,0,0,0,0,1,Austronesian
Kor.KOREAN.KOREAN,1,1,1,1,1,1,1,1,Koreanic
ESu.NILOTIC.POKOT,0,0,-,0,0,0,0,0,Nilotic
Sep.MIDDLE_SEPIK.KWOMA,1,1,1,1,1,1,1,1,Sepik
ESu.NILOTIC.MAASAI,0,0,1,0,0,0,0,0,Nilotic
KF.KWOMTARI.KWOMTARI,-,1,1,1,0,1,1,1,Kwomtari-Nai
CSu.MORU_MAADI.LOGO,0,1,0,1,0,-,0,1,Central_Sudanic
An.OCEANIC.LONGGU,0,0,0,0,1,0,0,0,Austronesian
OM.OTOMIAN.OTOMI_MEZQUITAL,1,0,1,0,1,0,0,0,Otomanguean
ST.BURMESE_LOLO.LISU,0,1,0,1,0,1,1,1,Sino-Tibetan
IE.BALTIC.LITHUANIAN,1,0,1,1,1,0,0,1,Indo-European
Sio.SIOUAN.LAKOTA,0,1,-,-,0,1,-,1,Siouan
AA.BIU_MANDARA.LAMANG_HITKALANCHI,0,0,-,0,0,0,0,0,Afro-Asiatic
An.CENTRAL_MALAYO_POLYNESIAN.LAMAHOLOT_ILE_MANDIRI,0,-,0,-,0,0,0,1,Austronesian
IE.INDIC.LAMANI,1,1,1,1,1,1,1,1,Indo-European
An.LAMPUNGIC.LAMPUNG,0,0,0,0,1,0,0,1,Austronesian
NC.UBANGI.LINDA,1,0,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.LONIU,0,0,0,0,0,0,0,1,Austronesian
AA.LOWLAND_EAST_CUSHITIC.EASTERN_OROMO_2,0,1,0,0,0,1,0,1,Afro-Asiatic
CSu.MORU_MAADI.LUGBARA,0,1,0,1,0,-,0,1,Central_Sudanic
UA.TAKIC.LUISENO,0,1,1,1,1,-,0,1,Uto-Aztecan
UA.TEPIMAN.TOHONO_OODHAM,1,-,1,-,1,0,0,0,Uto-Aztecan
ESu.NILOTIC.LUO,0,0,0,0,0,0,0,1,Nilotic
NC.BANTOID.K14_LWENA_2,0,0,0,0,0,0,0,1,Atlantic-Congo
NDa.LEZGIC.KUBA_LEZGI,1,1,1,1,1,1,1,1,Nakh-Daghestanian
An.OCEANIC.LEWO_VISINA,0,0,0,0,0,0,0,1,Austronesian
An.CENTRAL_MALAYO_POLYNESIAN.LETINESE,0,0,0,1,0,0,0,1,Austronesian
ST.BURMESE_LOLO.LALO,0,1,0,1,0,1,-,1,Sino-Tibetan
Aus.PAMA_NYUNGAN.WANGKA_WIRU,0,1,0,1,0,1,-,1,Pama-Nyungan
Aus.PAMA_NYUNGAN.KOKO_YALANDJI,0,0,-,-,1,1,-,1,Pama-Nyungan
ST.KAREN.KAYAH_LI_EASTERN,0,-,0,1,0,0,0,1,Sino-Tibetan
Aru.ARAUAN.PAUMARI,0,1,1,1,0,-,0,0,Arawan
An.OCEANIC.LABU,0,0,0,1,0,0,0,1,Austronesian
An.OCEANIC.BUANG,0,0,0,1,0,0,0,1,Austronesian
ST.BURMESE_LOLO.LAHU_2,-,1,0,1,0,1,1,1,Sino-Tibetan
ST.KUKI_CHIN.CHIN_HAKA,-,1,-,1,0,1,-,1,Sino-Tibetan
ESu.NILOTIC.LANGO,0,0,0,0,0,0,0,1,Nilotic
An.OCEANIC.LENAKEL_LONASILIAN,0,0,0,0,0,0,0,1,Austronesian
TK.KAM_TAI.LAO,0,0,0,0,0,0,0,1,Tai-Kadai
IE.INDIC.PUNJABI_MAJHI,1,1,1,1,1,1,-,1,Indo-European
NC.BANTOID.LUNDA_1,0,0,-,0,0,0,0,1,Atlantic-Congo
CSu.LENDU.LENDU,1,1,1,1,1,-,-,1,Central_Sudanic
An.PALAUAN.PALAUAN,1,0,1,0,1,0,0,1,Austronesian
An.PAIWAN.BUTANGLU_PAIWAN,0,0,1,0,0,0,0,0,Austronesian
An.OCEANIC.DEHU,0,0,0,0,1,0,0,-,Austronesian
Sep.MIDDLE_SEPIK.HANGA_HUNDI,1,1,1,1,-,1,1,1,Ndu
OM.MIXTECAN.MIXTEC_PENYOLES,0,0,-,0,1,0,0,0,Otomanguean
Iro.SOUTHERN_IROQUOIAN.CHEROKEE,1,1,1,1,1,1,1,-,Iroquoian
AuA.BAHNARIC.CHRAU,0,0,0,0,1,0,0,1,Austroasiatic
Yka.YUKAGHIR.KOLYMA_YUKAGIR,1,1,1,1,1,1,1,1,Yukaghir
OM.CHINANTECAN.CHINANTEC_QUIOTEPEC,0,0,-,0,1,0,0,0,Otomanguean
TNG.MEK.UNA,0,1,1,1,0,1,1,1,Nuclear_Trans_New_Guinea
ST.BODIC.CHANTYAL,1,1,1,1,1,1,1,1,Sino-Tibetan
CK.NORTHERN_CHUKOTKO_KAMCHATKAN.CHUKCHEE,1,1,1,1,1,1,-,1,Chukotko-Kamchatkan
TNG.KOIARIAN.BARAI,0,1,0,1,0,1,0,1,Koiarian
Hok.CHIMARIKO.CHIMARIKO,0,1,-,1,0,1,-,1,Chimariko
AA.SEMITIC.GETO,1,-,0,1,1,1,1,1,Afro-Asiatic
An.OCEANIC.ULITHIAN,0,0,0,1,1,0,0,1,Austronesian
ST.NORTHERN_NAGA.NAGA_CHANG,-,1,1,1,0,1,-,1,Sino-Tibetan
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.AMBAI,0,0,0,1,0,0,0,1,Austronesian
OM.CHINANTECAN.CHINANTEC_COMALTEPEC,0,0,0,0,1,0,0,0,Otomanguean
AA.SEMITIC.MOROCCAN_ARABIC_2,0,0,1,0,1,0,0,0,Afro-Asiatic
NDa.NAKH.AKKIN_CHECHEN,1,1,1,1,1,1,1,1,Nakh-Daghestanian
UA.TEPIMAN.NORTHERN_TEPEHUAN,-,1,1,1,1,0,0,0,Uto-Aztecan
An.CHAMORRO.CHAMORRO,1,0,1,0,1,0,0,0,Austronesian
AA.BIU_MANDARA.WUZLAM,0,0,0,0,0,0,0,1,Afro-Asiatic
Tac.TACANAN.ARAONA,0,1,1,1,-,1,0,1,Pano-Tacanan
An.OCEANIC.CEMUHI,0,0,0,0,0,0,0,0,Austronesian
An.OCEANIC.WOLEAIAN,0,0,0,-,1,0,0,1,Austronesian
AA.WEST_CHADIC.ANGAS,0,0,0,0,0,0,0,1,Afro-Asiatic
Chi.TALAMANCA.TERIBE,0,1,0,1,0,1,0,1,Chibchan
Car.CARIBAN.MAQUIRITARI,0,1,1,1,1,1,0,1,Cariban
ST.KUKI_CHIN.CHIN_SIYIN,-,1,1,1,0,1,1,1,Sino-Tibetan
Aus.WORORAN.NGARINYIN,0,1,0,-,0,1,0,1,Worrorran
NC.EDOID.EDO,0,0,0,0,0,0,0,1,Atlantic-Congo
Alt.TURKIC.CHUVASH,1,1,1,1,1,1,1,1,Turkic
Yuc.YUCHI.YUCHI,0,1,1,1,0,1,0,1,Yuchi
May.MAYAN.CHONTAL_TABASCO,1,0,-,0,1,0,0,0,Mayan
NC.SOUTHERN_ATLANTIC.THEMNE,0,0,0,0,0,0,0,1,Atlantic-Congo
ST.KUKI_CHIN.LAKHER_MARA,0,1,-,1,0,1,-,1,Sino-Tibetan
UA.NUMIC.COMANCHE,1,1,1,1,1,1,0,1,Uto-Aztecan
An.OCEANIC.TONGAN,0,0,0,0,0,0,0,0,Austronesian
Aus.PAMA_NYUNGAN.ALYAWARRA,0,1,0,0,0,1,0,1,Pama-Nyungan
UA.NUMIC.UTE_2,-,1,-,1,1,-,0,1,Uto-Aztecan
An.OCEANIC.TUNGAK,0,0,0,0,1,0,0,1,Austronesian
CSu.BONGO_BAGIRMI.BAGIRMI,0,0,0,0,0,0,0,1,Central_Sudanic
Alt.TURKIC.TURKISH,1,1,1,1,1,1,1,1,Turkic
An.SULAWESI.TONDANO,0,0,0,0,-,0,0,-,Austronesian
Sep.MIDDLE_SEPIK.MAPRIK,1,1,1,1,0,1,1,1,Ndu
NC.DEFOID.YORUBA,0,0,0,0,0,0,0,1,Atlantic-Congo
TNG.MADANG.AMELE,0,1,0,1,0,1,0,1,Nuclear_Trans_New_Guinea
An.MALAYO_SUMBAWAN.URAK_LAWOI,0,0,0,0,-,0,0,1,Austronesian
AA.BERBER.TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,0,0,-,0,1,0,0,0,Afro-Asiatic
NC.BANTOID.CEWA,0,0,0,0,0,0,0,1,Atlantic-Congo
AA.SEMITIC.AMHARIC,1,-,1,1,1,1,1,1,Afro-Asiatic
An.EAST_FORMOSAN.FARANG_AMIS,1,0,1,0,1,0,1,0,Austronesian
IE.INDIC.URDU,1,1,1,1,1,1,-,1,Indo-European
An.OCEANIC.EAST_AMBAE_LOLOMATUI,0,0,0,0,0,0,0,1,Austronesian
Mus.MUSKOGEAN.CHOCTAW,-,1,0,1,0,1,-,1,Muskogean
OM.MIXTECAN.TRIQUI_COPALA,0,0,0,0,1,0,0,0,Otomanguean
ESu.NILOTIC.TURKANA,0,0,0,0,0,0,0,0,Nilotic
AA.BIU_MANDARA.BUDUMA,0,0,0,0,0,0,0,1,Afro-Asiatic
ST.BURMESE_LOLO.BURMESE,0,1,1,1,0,1,1,1,Sino-Tibetan
AA.SEMITIC.ARABIC_GULF_SPOKEN,0,0,-,0,-,0,0,1,Afro-Asiatic
IE.ARMENIAN.EASTERN_ARMENIAN,1,1,1,1,1,-,-,1,Indo-European
An.OCEANIC.AROSI_TAWATANA,0,0,0,0,1,0,0,1,Austronesian
AA.SOUTHERN_CUSHITIC.BURUNGE,0,-,-,0,0,0,0,1,Afro-Asiatic
Brs.BURUSHASKI.BURUSHASKI,1,1,1,1,1,1,1,1,Burushaski
Alt.TURKIC.KAZAN_TATAR,1,1,1,1,1,1,1,1,Turkic
An.OCEANIC.TEANU,0,0,0,0,0,0,0,1,Austronesian
IE.SLAVIC.BULGARIAN,1,0,1,-,1,0,0,-,Indo-European
An.CENTRAL_MALAYO_POLYNESIAN.TETUN,0,0,0,1,0,0,0,1,Austronesian
NDa.NAKH.BATS,1,1,1,1,1,1,1,1,Nakh-Daghestanian
Sen.SENAGI.ANGOR,0,1,0,1,0,1,0,1,Senagi
Tuc.TUCANOAN.BARASANO,-,1,1,1,1,1,0,-,Tucanoan
An.CELEBIC.TUKANG_BESI_SOUTHERN,0,0,0,0,0,0,-,0,Austronesian
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.TOBA_BATAK,0,0,0,0,-,0,0,0,Austronesian
UA.CAHITA.YAQUI_2,1,1,1,1,1,1,0,1,Uto-Aztecan
An.YAPESE.YAPESE,0,0,0,0,1,0,0,0,Austronesian
AA.SEMITIC.SYRIAN_ARABIC,0,0,-,0,-,0,0,-,Afro-Asiatic
An.OCEANIC.TUVALUAN,0,0,0,0,1,1,0,0,Austronesian
Bas.BASQUE.BASQUE,0,1,0,1,1,1,1,1,Basque
TNG.MEK.YALE_KOSAREK,0,1,0,1,0,1,1,1,Nuclear_Trans_New_Guinea
Alt.TURKIC.BASHKIR,1,1,1,1,1,1,1,1,Turkic
NC.BANTOID.XHOSA_2,0,0,-,0,0,0,0,1,Atlantic-Congo
An.CENTRAL_MALAYO_POLYNESIAN.BURU_MASARETE,0,0,0,1,0,0,0,1,Austronesian
Aus.PAMA_NYUNGAN.YIDINY,0,-,-,1,0,1,-,1,Pama-Nyungan
NWC.NORTHWEST_CAUCASIAN.UBYKH,1,1,-,1,1,1,1,1,Abkhaz-Adyge
An.OCEANIC.ANEITYUM_2,0,0,0,0,0,0,0,0,Austronesian
Sep.RAM.AWTUW,0,1,1,1,0,1,1,1,Sepik
Bar.BARBACOAN.COLORADO,1,1,1,1,1,1,1,1,Barbacoan
UA.NUMIC.PANAMINT,1,-,-,1,1,1,-,1,Uto-Aztecan
ESu.NILOTIC.ANYUAK,0,0,-,0,0,-,0,-,Nilotic
ST.KUKI_CHIN.NAGA_AO,0,1,0,1,0,1,-,1,Sino-Tibetan
Pen.TSIMSHIANIC.COAST_TSIMSHIAN,1,0,0,0,1,0,0,0,Tsimshian
IE.CELTIC.BRETON,0,0,0,0,1,0,0,0,Indo-European
AA.BERBER.TARIFIT_GUELAIA,0,0,0,0,1,0,0,1,Afro-Asiatic
ST.TANI.APATANI,0,1,1,1,0,1,1,1,Sino-Tibetan
Arw.PURUS.APURINA,0,1,1,1,1,-,0,1,Arawakan
Man.WESTERN_MANDE.XAASONGAXANGO,0,1,1,1,0,1,-,1,Mande
AA.BERBER.TAMASHEQ,0,0,0,0,1,0,0,0,Afro-Asiatic
Arw.NORTHERN_ARAWAKAN.LOKONO,1,1,1,1,1,0,-,-,Arawakan
ST.BODIC.BYANSI,1,1,1,1,1,1,-,1,Sino-Tibetan
An.SAMA_BAJAW.BAJAU_WEST_COAST,0,0,0,0,1,0,0,-,Austronesian
An.OCEANIC.VITU,0,0,0,0,0,0,0,1,Austronesian
Tor.KOMBIO_ARAPESH.KOMBIO,0,0,0,0,0,0,0,1,Nuclear_Torricelli
ST.CHINESE.CANTONESE,1,-,1,1,1,0,1,1,Sino-Tibetan
OM.CHINANTECAN.LEALAO_CHINANTEC,0,0,0,0,1,0,0,0,Otomanguean
Urr.URARINA.URARINA,0,1,1,1,1,1,1,0,Urarina
NC.UBANGI.BARAMBU,1,0,0,0,0,0,0,-,Atlantic-Congo
Alt.MONGOLIC.TACHENG_DAGUR,1,1,1,1,1,1,1,1,Mongolic
Aus.TIWIAN.TIWI,1,0,1,1,1,0,0,1,Tiwi
ST.BURMESE_LOLO.XIANDAO,-,1,0,1,0,1,1,1,Sino-Tibetan
Tor.WAPEI_PALEI.WALMAN,0,1,0,-,0,0,0,1,Nuclear_Torricelli
IE.IRANIAN.ISHKOMAN_WAKHI,1,-,1,1,1,1,0,1,Indo-European
AA.EAST_CHADIC.BIDIYA,0,0,0,0,0,0,0,1,Afro-Asiatic
WP.NORTH_HALMAHERAN.WEST_MAKIAN,0,0,0,1,0,0,0,1,North_Halmahera
Tuc.TUCANOAN.DESANO,1,1,1,1,-,1,0,1,Tucanoan
NC.KWA.ADIOUKROU,0,1,0,1,0,0,0,1,Atlantic-Congo
Dog.DOGON.DOGON_DONNO_SO,0,1,0,1,0,1,-,1,Dogon
An.OCEANIC.VINMAVIS,0,0,0,0,0,0,0,1,Austronesian
Alt.TURKIC.TURKMEN,1,1,1,1,1,1,1,1,Turkic
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.BIAK_2,0,0,0,1,0,0,0,1,Austronesian
An.OCEANIC.ADZERA,0,0,0,1,0,0,0,1,Austronesian
ST.BAI.JIANCHUAN_BAI_2,1,-,0,1,0,0,1,1,Sino-Tibetan
An.OCEANIC.TOLAI,-,0,1,0,1,0,0,-,Austronesian
Dag.DAGAN.DAGA,0,1,0,1,0,1,0,1,Dagan
IE.SLAVIC.CZECH,1,0,1,-,1,0,0,1,Indo-European
AA.SEMITIC.CAIRO_ARABIC,0,0,0,0,-,0,0,1,Afro-Asiatic
SoP.BILUA.BILUA,1,1,1,1,1,0,-,-,Bilua
OM.ZAPOTECAN.CHATINO_WESTERN_HIGHLAND,0,0,0,0,1,0,0,0,Otomanguean
An.OCEANIC.GRAND_COULI,1,0,0,0,1,0,0,-,Austronesian
An.NORTH_BORNEO.TIMUGON_MURUT,0,0,0,0,1,0,0,0,Austronesian
ST.DHIMALIC.DHIMAL,1,1,1,1,1,1,1,1,Sino-Tibetan
ESu.SURMIC.DIDINGA,0,0,0,0,0,0,0,0,Surmic
Alt.MONGOLIC.KHAMNIGAN_MONGOL,0,0,1,0,1,0,0,0,Mongolic
ST.BODIC.TSHANGLA,1,1,1,1,0,1,1,1,Sino-Tibetan
IE.CELTIC.WELSH,0,0,0,0,1,0,0,0,Indo-European
AA.SEMITIC.TIGRE,1,0,-,0,1,1,1,1,Afro-Asiatic
NWC.NORTHWEST_CAUCASIAN.ABKHAZ,0,1,1,1,-,1,1,1,Abkhaz-Adyge
Mat.MATACOAN.WICHI_LHAMTES_GUISNAY,0,0,0,1,1,0,0,1,Matacoan
TNG.AWJU_DUMUT.WAMBON,0,1,1,1,-,1,-,1,Nuclear_Trans_New_Guinea
TK.KAM_TAI.KHORAT_THAI,0,0,0,0,0,0,0,1,Tai-Kadai
WP.NORTH_CENTRAL_BIRDS_HEAD.ABUN,0,0,0,1,0,0,0,1,Abun
Sen.SENAGI.AMGOTRO,-,1,1,1,0,1,-,1,Senagi
TAP.GREATER_ALOR.ABUI_TAKALELANG,0,-,1,1,0,1,0,1,Timor-Alor-Pantar
An.MALAYO_SUMBAWAN.ACEH,0,0,0,0,1,-,0,-,Austronesian
ST.MAHAKIRANTI.THULUNG,1,1,1,1,1,1,1,1,Sino-Tibetan
Aus.PAMA_NYUNGAN.THAYORE,0,-,0,0,0,1,0,1,Pama-Nyungan
WP.NORTH_HALMAHERAN.TIDORE,0,0,0,1,0,0,0,1,North_Halmahera
NC.NORTHERN_ATLANTIC.WOLOF,0,0,0,0,1,0,0,1,Atlantic-Congo
An.CELEBIC.WOLIO,0,0,1,0,1,0,0,0,Austronesian
NC.NORTHERN_ATLANTIC.JOLA,0,0,0,0,0,0,0,1,Atlantic-Congo
ESu.NILOTIC.DINKA_NORTHEASTERN,0,-,-,0,0,-,0,1,Nilotic
MZ.MIXE_ZOQUE.MIGUEL_CHIMALAPA,1,1,1,1,1,0,0,1,Mixe-Zoque
Hok.YUMAN.DIEGUENO,-,1,0,1,0,1,-,1,Cochimi-Yuman
OM.ZAPOTECAN.ISTHMUS_ZAPOTEC,0,0,0,0,1,0,0,0,Otomanguean
CSu.BONGO_BAGIRMI.YULU,0,0,0,0,0,0,0,1,Central_Sudanic
CSu.BONGO_BAGIRMI.BAKA_SUDAN,1,0,0,0,0,0,0,1,Central_Sudanic
Man.WESTERN_MANDE.VAI,0,1,0,1,0,1,-,1,Mande
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.KARO_BATAK,0,0,0,0,1,0,0,-,Austronesian
Dra.SOUTHERN_DRAVIDIAN.TAMIL,1,1,1,1,1,1,1,1,Dravidian
Alg.YUROK.YUROK,1,-,1,1,1,-,-,1,Algic
Ain.AINU.AINU_HOROBETSU,1,1,1,1,1,1,1,1,Ainu
IE.INDIC.NAWAR_ZUTT,1,0,1,1,1,0,0,0,Indo-European
Alg.ALGONQUIAN.BLACKFOOT,1,-,1,1,1,0,-,-,Algic
IE.CELTIC.CORNISH,0,0,0,0,1,0,0,1,Indo-European
ST.BURMESE_LOLO.GELANGHE_AKHA,0,1,0,1,0,1,1,1,Sino-Tibetan
ESu.NILOTIC.NGYEPU,0,0,1,0,0,0,0,1,Nilotic
Sep.SEPIK_HILL.ALAMBLAK,1,1,1,1,1,1,1,1,Sepik
IE.ALBANIAN.ALBANIAN_GHEG,0,0,1,0,1,0,0,1,Indo-European
An.OCEANIC.AROP_LOKEP,0,0,0,-,0,0,0,1,Austronesian
OM.CHINANTECAN.CHINANTEC_PALANTLA,0,0,0,0,1,0,0,0,Otomanguean
Man.WESTERN_MANDE.BAMBARA,0,1,-,1,0,1,-,1,Mande
ST.BODIC.TIBETAN_CENTRAL,0,1,0,1,0,1,1,1,Sino-Tibetan
UA.CORACHOL.EL_NAYAR_CORA,0,1,1,-,1,0,0,0,Uto-Aztecan
AA.EGYPTIAN_COPTIC.COPTIC,0,0,-,0,1,0,0,1,Afro-Asiatic
OC.COOSAN.HANIS_COOS,1,1,1,-,1,-,0,0,Coosan
PY.PEBA_YAGUAN.YAGUA,0,1,1,1,1,0,0,0,Peba-Yagua
